Jumlah data;Accuracy Base;Accuracy SISA;Accuracy DaRE;Time Base;Time SISA;Time DaRE
125;0,962962963;0,944444444;0,962962963;0,068346739;0,035877228;0
124;0,962962963;0,944444444;0,962962963;0,046458244;0,03525281;0,001182795
123;0,962962963;0,944444444;0,962962963;0,04163003;0,034986258;0,012004375
122;0,962962963;0,944444444;0,962962963;0,046761751;0,046589851;0,001143932
121;0,962962963;0,944444444;0,962962963;0,025401831;0,042611599;0
120;0,962962963;0,944444444;0,962962963;0,047132492;0,047368765;0
119;0,962962963;0,944444444;0,962962963;0,041504383;0,035837173;0,000516653
118;0,981481481;0,962962963;0,962962963;0,048557043;0,035197735;0
117;0,944444444;0,962962963;0,962962963;0,045171022;0,040153503;0,005740881
116;0,962962963;0,962962963;0,962962963;0,043132305;0,034599066;0
115;0,851851852;0,962962963;0,962962963;0,052156448;0,03682971;0,000999689
114;0,925925926;0,962962963;0,962962963;0,040371895;0,03355813;0
113;0,888888889;0,962962963;0,962962963;0,047474384;0,033469915;0
112;0,888888889;0,962962963;0,962962963;0,039551973;0,031243563;0
111;0,888888889;0,962962963;0,962962963;0,0299263;0,037356377;0
110;0,888888889;0,962962963;0,962962963;0,048734188;0,031693935;0
109;0,888888889;0,962962963;0,962962963;0,041334391;0,050200939;0,000950813
108;0,907407407;0,962962963;0,962962963;0,039976358;0,041781902;0
107;0,907407407;0,944444444;0,962962963;0,041488171;0,034741879;0,000998259
106;0,981481481;0,981481481;0,962962963;0,050105333;0,036587;0
105;0,981481481;0,981481481;0,962962963;0,040207386;0,034122944;0
104;0,962962963;0,981481481;0,962962963;0,034297943;0,047744751;0
103;0,962962963;0,981481481;0,962962963;0,03396678;0,041392565;0
102;0,944444444;0,981481481;0,962962963;0,041999578;0,041574001;0
101;0,962962963;0,981481481;0,962962963;0,049168825;0,035321951;0
100;0,925925926;0,981481481;0,962962963;0,044078827;0,044505358;0
99;0,925925926;0,962962963;0,962962963;0,047604084;0,0421381;0
98;0,962962963;0,981481481;0,962962963;0,033272743;0,035208464;0
97;0,907407407;0,981481481;0,962962963;0,048285723;0,050708771;0,004258871
96;0,907407407;0,944444444;0,962962963;0,039429665;0,042510509;0
95;0,888888889;0,944444444;0,962962963;0,047932625;0,048438549;0,00684762
94;0,944444444;0,833333333;0,962962963;0,046597481;0,04594183;0
93;0,944444444;0,833333333;0,962962963;0,050707102;0,031695843;0,001170158
92;0,851851852;0,944444444;0,962962963;0,043239355;0,036435843;0
91;0,925925926;0,944444444;0,962962963;0,037273169;0,036267757;0
90;0,944444444;0,944444444;0,962962963;0,035075665;0,023569345;0
89;0,944444444;0,944444444;0,962962963;0,046411514;0,030076504;0
88;0,944444444;0,925925926;0,962962963;0,047260046;0,042601109;0,001503468
87;0,944444444;0,925925926;0,962962963;0,033348799;0,031250477;0
86;0,87037037;0,925925926;0,962962963;0,031485319;0,037542343;0
85;0,87037037;0,925925926;0,962962963;0,034524918;0,039672613;0
84;0,87037037;0,925925926;0,962962963;0,037864685;0,04161334;0
83;0,907407407;0,944444444;0,962962963;0,047819138;0,030511856;0
82;0,907407407;0,962962963;0,962962963;0,026032686;0,031837702;0
81;0,907407407;0,962962963;0,962962963;0,04564929;0,036113024;0
80;0,907407407;0,925925926;0,962962963;0,049421072;0,039477825;0
79;0,907407407;0,907407407;0,962962963;0,033138752;0,034346104;0
78;0,907407407;0,962962963;0,962962963;0,037643909;0,03497076;0
77;0,907407407;0,907407407;0,962962963;0,034245968;0,046879768;0
76;0,87037037;0,907407407;0,944444444;0,031226397;0,031354189;0
75;0,87037037;0,925925926;0,962962963;0,048899412;0,039795399;0
74;0,87037037;0,962962963;0,962962963;0,039259911;0,045404196;0
73;0,796296296;0,87037037;0,962962963;0,023505211;0,034001589;0
72;0,907407407;0,87037037;0,944444444;0,036726952;0,032923937;0
71;0,851851852;0,925925926;0,962962963;0,04805398;0,031392813;0
70;0,87037037;0,925925926;0,962962963;0,0388484;0,029874802;0,000830173
69;0,888888889;0,907407407;0,962962963;0,039521933;0,035629749;0
68;0,888888889;0,907407407;0,962962963;0,036330938;0,034873009;0
67;0,888888889;0,907407407;0,962962963;0,027350426;0,032155991;0
66;0,833333333;0,907407407;0,962962963;0,046559095;0,026154041;0
65;0,833333333;0,907407407;0,962962963;0,046926022;0,03289628;0
64;0,833333333;0,907407407;0,962962963;0,042095423;0,041992188;0
63;0,833333333;0,907407407;0,962962963;0,029578209;0,047076941;0
62;0,833333333;0,888888889;0,962962963;0,034658909;0,039442301;0
61;0,833333333;0,888888889;0,944444444;0,046664715;0,02614212;0
60;0,833333333;0,888888889;0,962962963;0,047525406;0,032028675;0,002003193
59;0,833333333;0,888888889;0,962962963;0,02390027;0,035465717;0
58;0,833333333;0,833333333;0,944444444;0,034876108;0,038758278;0
57;0,907407407;0,87037037;0,944444444;0,031755209;0,034127235;0
56;0,888888889;0,888888889;0,962962963;0,035197496;0,042360306;0,000609636
55;0,888888889;0,888888889;0,944444444;0,037145138;0,028223038;0
54;0,888888889;0,888888889;0,944444444;0,043599844;0,042905569;0
53;0,888888889;0,888888889;0,962962963;0,051210642;0,035578251;0
52;0,888888889;0,888888889;0,944444444;0,03202486;0,048751116;0
51;0,888888889;0,888888889;0,944444444;0,038635254;0,035066843;0,015644789
50;0,888888889;0,907407407;0,944444444;0,033897161;0,036710739;0
49;0,888888889;0,907407407;0,944444444;0,038511515;0,034716845;0
48;0,888888889;0,907407407;0,944444444;0,038161755;0,035637856;0,001090527
47;0,888888889;0,87037037;0,907407407;0,034622669;0,035953283;0,001163483
46;0,833333333;0,888888889;0,944444444;0,038713455;0,036910534;0
45;0,851851852;0,925925926;0,888888889;0,038450003;0,034523487;0
44;0,851851852;0,925925926;0,888888889;0,039424181;0,037280798;0
43;0,796296296;0,925925926;0,888888889;0,041772127;0,031605959;0
